location,city,area,bedrooms,bathrooms,year_built,floor,amenities_count,price
Urban,Mumbai,1500,3,2,2015,5,4,420000
Urban,Delhi,1800,4,3,2018,8,5,560000
Urban,Bengaluru,1200,2,2,2012,10,3,330000
Urban,Chennai,2200,4,3,2020,12,6,650000
Urban,Hyderabad,1400,3,2,2014,7,4,390000
Urban,Pune,2000,4,3,2019,15,5,610000
Urban,Ahmedabad,1700,3,2,2016,9,4,470000
Urban,Kolkata,1300,2,2,2010,6,3,310000
Urban,Noida,1900,4,3,2021,13,6,620000
Urban,Gurgaon,1600,3,2,2017,11,5,500000
Urban,Chandigarh,2100,4,3,2022,8,5,640000
Urban,Mysuru,1800,4,2,2019,10,5,520000
Urban,Indore,1900,4,3,2018,12,5,560000
Urban,Patna,1600,3,2,2015,7,4,450000
Suburban,Navi Mumbai,1600,3,2,2012,3,4,385000
Suburban,Faridabad,1800,4,3,2015,1,5,430000
Suburban,Ghaziabad,1400,2,2,2011,2,2,310000
Suburban,Kharghar,1900,4,3,2018,4,5,470000
Suburban,Thane,1500,3,2,2013,3,4,360000
Suburban,Pimpri,1700,3,2,2016,5,4,395000
Suburban,Whitefield,1300,2,2,2014,6,3,335000
Suburban,Hadapsar,2100,4,3,2019,2,5,495000
Suburban,Noida,1550,3,2,2017,2,4,370000
Suburban,Kochi,1800,4,3,2015,4,5,445000
Suburban,Bhiwandi,1700,3,2,2016,3,4,390000
Suburban,Vadodara,1500,3,2,2014,2,4,355000
Suburban,Surat,1700,3,2,2017,3,4,395000
Rural,Nagpur,1200,2,1,2008,0,2,225000
Rural,Goa,1400,3,2,2009,1,3,260000
Rural,Mandya,1000,1,1,2005,0,1,180000
Rural,Alibaug,1700,3,2,2013,0,4,300000
Rural,Dehradun,1500,3,2,2014,1,3,280000
Rural,Siliguri,1100,2,1,2010,0,2,210000
Rural,Agra,1300,2,1,2012,1,2,235000
Rural,Dharamshala,1600,3,2,2016,0,4,295000
Rural,Jaipur,1450,3,2,2011,1,3,265000
Rural,Pushkar,1300,2,1,2007,0,2,220000
Rural,Sikar,1400,2,1,2008,0,2,230000
Rural,Bhopal,1250,2,1,2010,1,2,215000
Rural,Bhuj,1350,2,1,2011,0,3,240000
