area,bedrooms,bathrooms,location,year_built,price
1500,3,2,Urban,2010,250000
2000,4,2.5,Suburban,2015,350000
1200,2,1,Rural,2005,150000
2500,5,3,Urban,2018,450000
1800,3,2,Suburban,2012,280000
1600,3,2.5,Urban,2008,240000
2200,4,2.5,Suburban,2017,380000
1400,2,2,Rural,2010,160000
2100,4,3,Urban,2016,400000
1900,3,2,Suburban,2014,320000
1700,3,2.5,Urban,2009,260000
2300,4,3,Suburban,2019,390000
1300,2,1.5,Rural,2006,140000
2400,5,2.5,Urban,2020,480000
1550,3,2,Suburban,2011,270000
1950,4,2.5,Urban,2013,360000
1450,2,2,Rural,2007,155000
2050,4,2.5,Suburban,2018,385000
1350,3,1.5,Rural,2004,135000
2600,5,3.5,Urban,2021,500000
